location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,be_me,monthly,vw_cap,1,13,4,1950-11-30,0.0507204461896352
usa,be_me,monthly,vw_cap,1,16,6,1950-12-31,0.0452731851353689
usa,be_me,monthly,vw_cap,1,21,8,1951-01-31,0.0149592955024429
usa,be_me,monthly,vw_cap,1,30,12,1951-02-28,-0.0154036139982851
usa,be_me,monthly,vw_cap,1,39,17,1951-03-31,0.0183924926623278
usa,be_me,monthly,vw_cap,1,45,19,1951-04-30,0.0347933903545274
usa,be_me,monthly,vw_cap,1,213,96,1951-05-31,0.00844355993411865
usa,be_me,monthly,vw_cap,1,220,98,1951-06-30,-0.0311532236720661
usa,be_me,monthly,vw_cap,1,224,100,1951-07-31,0.0177127279654546
usa,be_me,monthly,vw_cap,1,230,103,1951-08-31,0.0158612754821844
usa,be_me,monthly,vw_cap,1,234,105,1951-09-30,0.00181890046035792
usa,be_me,monthly,vw_cap,1,236,107,1951-10-31,0.0248149097676211
usa,be_me,monthly,vw_cap,1,236,106,1951-11-30,-0.00417325346659504
usa,be_me,monthly,vw_cap,1,238,107,1951-12-31,-0.0309879579122439
usa,be_me,monthly,vw_cap,1,239,107,1952-01-31,0.0122383924566938
usa,be_me,monthly,vw_cap,1,237,106,1952-02-29,0.0128377337321338
usa,be_me,monthly,vw_cap,1,237,107,1952-03-31,0.000310930446371767
usa,be_me,monthly,vw_cap,1,238,107,1952-04-30,0.00520574689687337
usa,be_me,monthly,vw_cap,1,239,108,1952-05-31,0.000615976863049872
usa,be_me,monthly,vw_cap,1,241,107,1952-06-30,-0.000888348063913254
usa,be_me,monthly,vw_cap,1,239,108,1952-07-31,0.0113151196695486
usa,be_me,monthly,vw_cap,1,240,109,1952-08-31,0.00307726556701858
usa,be_me,monthly,vw_cap,1,240,108,1952-09-30,-0.010995209377945
usa,be_me,monthly,vw_cap,1,241,109,1952-10-31,0.00893738604717539
usa,be_me,monthly,vw_cap,1,241,109,1952-11-30,0.00290544854587681
usa,be_me,monthly,vw_cap,1,242,110,1952-12-31,0.0122277290370753
usa,be_me,monthly,vw_cap,1,241,110,1953-01-31,0.0256153787068295
usa,be_me,monthly,vw_cap,1,241,110,1953-02-28,0.00457437532189212
usa,be_me,monthly,vw_cap,1,242,109,1953-03-31,0.012190762626703
usa,be_me,monthly,vw_cap,1,244,110,1953-04-30,0.00362140639581701
usa,be_me,monthly,vw_cap,1,244,111,1953-05-31,-0.00579974605895055
usa,be_me,monthly,vw_cap,1,243,110,1953-06-30,-0.00947483390268038
usa,be_me,monthly,vw_cap,1,241,109,1953-07-31,-0.0053359671871567
usa,be_me,monthly,vw_cap,1,242,111,1953-08-31,-0.0232254513062598
usa,be_me,monthly,vw_cap,1,244,111,1953-09-30,-0.0269316002111353
usa,be_me,monthly,vw_cap,1,244,111,1953-10-31,0.00934365249680341
usa,be_me,monthly,vw_cap,1,243,111,1953-11-30,-0.00700086577672018
usa,be_me,monthly,vw_cap,1,242,109,1953-12-31,-0.0261610152527908
usa,be_me,monthly,vw_cap,1,243,110,1954-01-31,0.0481076384250186
usa,be_me,monthly,vw_cap,1,241,110,1954-02-28,-0.00579895572835294
usa,be_me,monthly,vw_cap,1,241,111,1954-03-31,-0.0117225302640889
usa,be_me,monthly,vw_cap,1,244,111,1954-04-30,-0.0295960529572232
usa,be_me,monthly,vw_cap,1,245,111,1954-05-31,0.0234582705320778
usa,be_me,monthly,vw_cap,1,245,112,1954-06-30,-0.0165660332103711
usa,be_me,monthly,vw_cap,1,245,111,1954-07-31,0.0132265421255192
usa,be_me,monthly,vw_cap,1,243,110,1954-08-31,0.0105415204888362
