location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,market_equity,monthly,vw_cap,-1,358,131,1926-01-31,0.0270247214124845
usa,market_equity,monthly,vw_cap,-1,362,133,1926-02-28,-0.0295989419120508
usa,market_equity,monthly,vw_cap,-1,368,135,1926-03-31,-0.0510520774436881
usa,market_equity,monthly,vw_cap,-1,369,136,1926-04-30,0.00540483942780413
usa,market_equity,monthly,vw_cap,-1,373,137,1926-05-31,-0.00561124916924259
usa,market_equity,monthly,vw_cap,-1,375,138,1926-06-30,-0.00436592843578702
usa,market_equity,monthly,vw_cap,-1,368,135,1926-07-31,-0.0212903495760477
usa,market_equity,monthly,vw_cap,-1,373,137,1926-08-31,0.00783840553409096
usa,market_equity,monthly,vw_cap,-1,382,140,1926-09-30,-0.00866201031188029
usa,market_equity,monthly,vw_cap,-1,380,138,1926-10-31,-0.00722914602522511
usa,market_equity,monthly,vw_cap,-1,383,140,1926-11-30,-0.0112948724598564
usa,market_equity,monthly,vw_cap,-1,386,141,1926-12-31,-0.00487226930626869
usa,market_equity,monthly,vw_cap,-1,388,143,1927-01-31,0.0120159846537917
usa,market_equity,monthly,vw_cap,-1,391,143,1927-02-28,0.0210408202773461
usa,market_equity,monthly,vw_cap,-1,391,143,1927-03-31,-0.024616005896572
usa,market_equity,monthly,vw_cap,-1,394,144,1927-04-30,-0.000845827502228178
usa,market_equity,monthly,vw_cap,-1,395,144,1927-05-31,0.00729645056955439
usa,market_equity,monthly,vw_cap,-1,399,146,1927-06-30,0.0078216526211544
usa,market_equity,monthly,vw_cap,-1,401,147,1927-07-31,-0.0223759246116104
usa,market_equity,monthly,vw_cap,-1,400,146,1927-08-31,-0.0205258523930391
usa,market_equity,monthly,vw_cap,-1,405,148,1927-09-30,-0.0268386619350679
usa,market_equity,monthly,vw_cap,-1,415,152,1927-10-31,0.00217069651184343
usa,market_equity,monthly,vw_cap,-1,418,153,1927-11-30,0.0211811393172872
usa,market_equity,monthly,vw_cap,-1,419,153,1927-12-31,0.00366763275548403
usa,market_equity,monthly,vw_cap,-1,423,154,1928-01-31,0.0281212803304046
usa,market_equity,monthly,vw_cap,-1,423,154,1928-02-29,-0.00284724773541303
usa,market_equity,monthly,vw_cap,-1,422,154,1928-03-31,0.000113629260036191
usa,market_equity,monthly,vw_cap,-1,421,154,1928-04-30,0.048226171629748
usa,market_equity,monthly,vw_cap,-1,424,155,1928-05-31,0.0173083643199151
usa,market_equity,monthly,vw_cap,-1,424,155,1928-06-30,-0.0272011856313372
usa,market_equity,monthly,vw_cap,-1,424,155,1928-07-31,-0.0198181256575696
usa,market_equity,monthly,vw_cap,-1,430,157,1928-08-31,-0.0255470350556334
usa,market_equity,monthly,vw_cap,-1,433,158,1928-09-30,0.0152705778195797
usa,market_equity,monthly,vw_cap,-1,437,160,1928-10-31,0.00629078112543888
usa,market_equity,monthly,vw_cap,-1,440,161,1928-11-30,-0.0177750820356529
usa,market_equity,monthly,vw_cap,-1,443,162,1928-12-31,-0.0327909376019716
usa,market_equity,monthly,vw_cap,-1,446,163,1929-01-31,-0.0374508828422915
usa,market_equity,monthly,vw_cap,-1,449,164,1929-02-28,-0.000120781204335008
usa,market_equity,monthly,vw_cap,-1,452,166,1929-03-31,-0.0317390703931666
usa,market_equity,monthly,vw_cap,-1,457,167,1929-04-30,-0.00133002992001462
usa,market_equity,monthly,vw_cap,-1,469,171,1929-05-31,-0.0668187797807419
usa,market_equity,monthly,vw_cap,-1,476,174,1929-06-30,-0.0314315547238712
usa,market_equity,monthly,vw_cap,-1,479,175,1929-07-31,-0.0352620208209423
usa,market_equity,monthly,vw_cap,-1,486,178,1929-08-31,-0.0745082098492848
usa,market_equity,monthly,vw_cap,-1,494,180,1929-09-30,-0.00402191556616077
usa,market_equity,monthly,vw_cap,-1,489,179,1929-10-31,-0.0475182567037752
usa,market_equity,monthly,vw_cap,-1,490,179,1929-11-30,-0.0205897431421266
usa,market_equity,monthly,vw_cap,-1,505,184,1929-12-31,-0.063052167100695
usa,market_equity,monthly,vw_cap,-1,514,188,1930-01-31,0.0787191278643396
usa,market_equity,monthly,vw_cap,-1,516,189,1930-02-28,0.0127978606238902
usa,market_equity,monthly,vw_cap,-1,518,189,1930-03-31,0.0432330082152962
usa,market_equity,monthly,vw_cap,-1,526,192,1930-04-30,-0.0137176945548041
usa,market_equity,monthly,vw_cap,-1,528,193,1930-05-31,-0.0257438117815721
usa,market_equity,monthly,vw_cap,-1,517,188,1930-06-30,-0.0487488269297607
usa,market_equity,monthly,vw_cap,-1,516,189,1930-07-31,0.00177389306063254
usa,market_equity,monthly,vw_cap,-1,524,191,1930-08-31,-0.0222357736197364
usa,market_equity,monthly,vw_cap,-1,517,189,1930-09-30,-0.0339346387071886
usa,market_equity,monthly,vw_cap,-1,516,189,1930-10-31,-0.00937896410467172
usa,market_equity,monthly,vw_cap,-1,518,190,1930-11-30,0.00959094175133393
usa,market_equity,monthly,vw_cap,-1,515,187,1930-12-31,-0.058538431312538
usa,market_equity,monthly,vw_cap,-1,520,190,1931-01-31,0.0809946404461973
usa,market_equity,monthly,vw_cap,-1,520,190,1931-02-28,0.0456217336082823
usa,market_equity,monthly,vw_cap,-1,522,190,1931-03-31,0.000667613922196303
usa,market_equity,monthly,vw_cap,-1,517,189,1931-04-30,-0.0536297471283433
usa,market_equity,monthly,vw_cap,-1,519,189,1931-05-31,0.0199564591828361
usa,market_equity,monthly,vw_cap,-1,520,190,1931-06-30,0.0299302007578555
usa,market_equity,monthly,vw_cap,-1,520,190,1931-07-31,-0.00207767380705506
usa,market_equity,monthly,vw_cap,-1,518,188,1931-08-31,-0.0301721084775866
usa,market_equity,monthly,vw_cap,-1,511,187,1931-09-30,-0.0170511931706251
usa,market_equity,monthly,vw_cap,-1,512,188,1931-10-31,0.0265298826363395
usa,market_equity,monthly,vw_cap,-1,516,188,1931-11-30,0.00381761994853959
usa,market_equity,monthly,vw_cap,-1,515,188,1931-12-31,-0.0650662467391435
usa,market_equity,monthly,vw_cap,-1,516,188,1932-01-31,0.0790703910087858
usa,market_equity,monthly,vw_cap,-1,518,189,1932-02-29,-0.0171145809111908
usa,market_equity,monthly,vw_cap,-1,518,189,1932-03-31,-0.0241486491743865
usa,market_equity,monthly,vw_cap,-1,511,187,1932-04-30,-0.0272995179225434
usa,market_equity,monthly,vw_cap,-1,505,185,1932-05-31,0.0112112373410673
usa,market_equity,monthly,vw_cap,-1,506,184,1932-06-30,0.0450146596561982
usa,market_equity,monthly,vw_cap,-1,505,184,1932-07-31,0.0297051220017032
usa,market_equity,monthly,vw_cap,-1,511,186,1932-08-31,0.301468603039024
usa,market_equity,monthly,vw_cap,-1,510,186,1932-09-30,-0.0522142742287005
usa,market_equity,monthly,vw_cap,-1,509,186,1932-10-31,-0.0222946566648248
usa,market_equity,monthly,vw_cap,-1,507,184,1932-11-30,-0.0303510070811194
usa,market_equity,monthly,vw_cap,-1,505,184,1932-12-31,-0.125814558883052
usa,market_equity,monthly,vw_cap,-1,505,184,1933-01-31,0.0354055881263697
usa,market_equity,monthly,vw_cap,-1,505,185,1933-02-28,-0.0138411540581565
usa,market_equity,monthly,vw_cap,-1,501,182,1933-03-31,0.0589859954832884
usa,market_equity,monthly,vw_cap,-1,496,181,1933-04-30,0.0806223718126845
usa,market_equity,monthly,vw_cap,-1,499,182,1933-05-31,0.542959371625786
usa,market_equity,monthly,vw_cap,-1,501,183,1933-06-30,0.0804032584611835
usa,market_equity,monthly,vw_cap,-1,498,182,1933-07-31,0.00871900594042789
usa,market_equity,monthly,vw_cap,-1,496,181,1933-08-31,-0.0472299005029095
usa,market_equity,monthly,vw_cap,-1,498,182,1933-09-30,-0.05472290805903
usa,market_equity,monthly,vw_cap,-1,503,183,1933-10-31,-0.0365294949800582
usa,market_equity,monthly,vw_cap,-1,502,183,1933-11-30,-0.0288709521842123
usa,market_equity,monthly,vw_cap,-1,503,184,1933-12-31,-0.00369738089340982
usa,market_equity,monthly,vw_cap,-1,505,184,1934-01-31,0.229564870363845
usa,market_equity,monthly,vw_cap,-1,505,184,1934-02-28,0.0554313847859806
usa,market_equity,monthly,vw_cap,-1,505,184,1934-03-31,0.00022235187146245
usa,market_equity,monthly,vw_cap,-1,505,184,1934-04-30,0.0268091151498751
usa,market_equity,monthly,vw_cap,-1,509,185,1934-05-31,-0.0395025553926483
usa,market_equity,monthly,vw_cap,-1,506,184,1934-06-30,-0.0498267132171405
usa,market_equity,monthly,vw_cap,-1,503,184,1934-07-31,-0.101721061681766
usa,market_equity,monthly,vw_cap,-1,502,183,1934-08-31,0.0693046143682892
usa,market_equity,monthly,vw_cap,-1,507,185,1934-09-30,-0.0139412200814643
usa,market_equity,monthly,vw_cap,-1,510,186,1934-10-31,-0.00760631421938969
usa,market_equity,monthly,vw_cap,-1,506,185,1934-11-30,0.065094146197487
usa,market_equity,monthly,vw_cap,-1,507,185,1934-12-31,0.0255136857605989
usa,market_equity,monthly,vw_cap,-1,507,185,1935-01-31,0.00186566618620435
usa,market_equity,monthly,vw_cap,-1,502,184,1935-02-28,-0.0620478884962262
usa,market_equity,monthly,vw_cap,-1,497,181,1935-03-31,-0.0581993567647155
usa,market_equity,monthly,vw_cap,-1,501,183,1935-04-30,0.0222585379199146
usa,market_equity,monthly,vw_cap,-1,506,184,1935-05-31,-0.0134154148358942
usa,market_equity,monthly,vw_cap,-1,506,184,1935-06-30,-0.0314567869512021
usa,market_equity,monthly,vw_cap,-1,504,183,1935-07-31,0.0695046652693511
usa,market_equity,monthly,vw_cap,-1,502,183,1935-08-31,0.0726744231057536
usa,market_equity,monthly,vw_cap,-1,507,185,1935-09-30,0.0198570168829451
usa,market_equity,monthly,vw_cap,-1,507,185,1935-10-31,0.0197449234079754
usa,market_equity,monthly,vw_cap,-1,506,185,1935-11-30,0.0904468991830304
usa,market_equity,monthly,vw_cap,-1,509,185,1935-12-31,0.00707082207241275
usa,market_equity,monthly,vw_cap,-1,514,187,1936-01-31,0.0766729645945767
usa,market_equity,monthly,vw_cap,-1,514,188,1936-02-29,0.0342787802755387
usa,market_equity,monthly,vw_cap,-1,514,188,1936-03-31,0.0203891603832721
usa,market_equity,monthly,vw_cap,-1,516,188,1936-04-30,-0.0525815653516943
usa,market_equity,monthly,vw_cap,-1,524,191,1936-05-31,0.00565236300115578
usa,market_equity,monthly,vw_cap,-1,523,191,1936-06-30,-0.0252076715575933
usa,market_equity,monthly,vw_cap,-1,525,192,1936-07-31,0.0298237367800649
usa,market_equity,monthly,vw_cap,-1,527,192,1936-08-31,0.0108621038306876
usa,market_equity,monthly,vw_cap,-1,526,192,1936-09-30,0.0254214708317667
usa,market_equity,monthly,vw_cap,-1,526,192,1936-10-31,-0.00552109649684441
usa,market_equity,monthly,vw_cap,-1,526,192,1936-11-30,0.0664329742712728
usa,market_equity,monthly,vw_cap,-1,533,194,1936-12-31,0.0277181501089655
usa,market_equity,monthly,vw_cap,-1,532,194,1937-01-31,0.0561796954589
usa,market_equity,monthly,vw_cap,-1,538,196,1937-02-28,0.0158027108916078
usa,market_equity,monthly,vw_cap,-1,539,197,1937-03-31,-0.0121127169514935
usa,market_equity,monthly,vw_cap,-1,544,199,1937-04-30,-0.0329938603777862
usa,market_equity,monthly,vw_cap,-1,546,199,1937-05-31,-0.0132552325712803
