location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,ope_be,monthly,vw_cap,1,12,5,1950-11-30,-0.0384049901078883
usa,ope_be,monthly,vw_cap,1,14,6,1950-12-31,-0.00393827178939594
usa,ope_be,monthly,vw_cap,1,19,8,1951-01-31,0.00981879864305465
usa,ope_be,monthly,vw_cap,1,27,12,1951-02-28,0.0354713626414418
usa,ope_be,monthly,vw_cap,1,36,16,1951-03-31,-0.0103993456238361
usa,ope_be,monthly,vw_cap,1,42,18,1951-04-30,0.015988028433575
usa,ope_be,monthly,vw_cap,1,189,87,1951-05-31,-0.0150058663449044
usa,ope_be,monthly,vw_cap,1,197,90,1951-06-30,0.00260981486798267
usa,ope_be,monthly,vw_cap,1,202,93,1951-07-31,0.00423514254741779
usa,ope_be,monthly,vw_cap,1,204,94,1951-08-31,-0.00579142296877722
usa,ope_be,monthly,vw_cap,1,208,96,1951-09-30,-0.0158471244275244
usa,ope_be,monthly,vw_cap,1,211,98,1951-10-31,-0.0129771511526322
usa,ope_be,monthly,vw_cap,1,210,97,1951-11-30,0.00828911298715455
usa,ope_be,monthly,vw_cap,1,211,98,1951-12-31,0.0201345230195446
usa,ope_be,monthly,vw_cap,1,211,97,1952-01-31,-0.012623365691494
usa,ope_be,monthly,vw_cap,1,214,99,1952-02-29,0.000170562149747526
usa,ope_be,monthly,vw_cap,1,215,100,1952-03-31,0.0120530444758515
usa,ope_be,monthly,vw_cap,1,215,100,1952-04-30,-0.0117657623402642
usa,ope_be,monthly,vw_cap,1,217,101,1952-05-31,0.00124690951999345
usa,ope_be,monthly,vw_cap,1,218,101,1952-06-30,0.0195541783994182
usa,ope_be,monthly,vw_cap,1,218,101,1952-07-31,0.00731036055738556
usa,ope_be,monthly,vw_cap,1,216,101,1952-08-31,-0.00964483668188632
usa,ope_be,monthly,vw_cap,1,217,101,1952-09-30,0.0158794779247834
usa,ope_be,monthly,vw_cap,1,217,101,1952-10-31,-0.00137867486964557
usa,ope_be,monthly,vw_cap,1,218,101,1952-11-30,0.0290700692758794
usa,ope_be,monthly,vw_cap,1,218,101,1952-12-31,-0.00128286040966888
usa,ope_be,monthly,vw_cap,1,219,101,1953-01-31,-0.0130201527140687
usa,ope_be,monthly,vw_cap,1,218,101,1953-02-28,-0.0175062814721694
usa,ope_be,monthly,vw_cap,1,219,101,1953-03-31,-0.0115822700610883
usa,ope_be,monthly,vw_cap,1,219,102,1953-04-30,-0.00604426042416715
usa,ope_be,monthly,vw_cap,1,219,104,1953-05-31,0.0129268528600217
usa,ope_be,monthly,vw_cap,1,219,103,1953-06-30,0.00359322219918148
usa,ope_be,monthly,vw_cap,1,220,105,1953-07-31,-0.00790978801939196
usa,ope_be,monthly,vw_cap,1,218,105,1953-08-31,-0.00181454586667987
usa,ope_be,monthly,vw_cap,1,219,105,1953-09-30,0.025193177995387
usa,ope_be,monthly,vw_cap,1,220,105,1953-10-31,0.0191863266952295
usa,ope_be,monthly,vw_cap,1,220,105,1953-11-30,0.0103476048549158
usa,ope_be,monthly,vw_cap,1,222,105,1953-12-31,0.0283183842235617
usa,ope_be,monthly,vw_cap,1,222,105,1954-01-31,-0.0153291317041012
usa,ope_be,monthly,vw_cap,1,220,103,1954-02-28,0.0110973102277412
usa,ope_be,monthly,vw_cap,1,221,104,1954-03-31,0.0277049885645032
usa,ope_be,monthly,vw_cap,1,220,104,1954-04-30,0.0258198684575189
usa,ope_be,monthly,vw_cap,1,225,105,1954-05-31,0.00202388579228378
usa,ope_be,monthly,vw_cap,1,224,104,1954-06-30,0.0288713834206001
usa,ope_be,monthly,vw_cap,1,223,104,1954-07-31,0.00353765880210945
usa,ope_be,monthly,vw_cap,1,222,104,1954-08-31,-0.0185440141939337
usa,ope_be,monthly,vw_cap,1,222,104,1954-09-30,0.0204082725559465
usa,ope_be,monthly,vw_cap,1,221,104,1954-10-31,0.0234913702748815
usa,ope_be,monthly,vw_cap,1,220,103,1954-11-30,0.0161401970269125
usa,ope_be,monthly,vw_cap,1,220,103,1954-12-31,-0.00522466345947243
usa,ope_be,monthly,vw_cap,1,220,102,1955-01-31,0.00106375824487419
usa,ope_be,monthly,vw_cap,1,222,102,1955-02-28,0.0114002114115262
usa,ope_be,monthly,vw_cap,1,222,103,1955-03-31,0.0180109203168409
usa,ope_be,monthly,vw_cap,1,222,104,1955-04-30,0.01087335254594
usa,ope_be,monthly,vw_cap,1,205,95,1955-05-31,0.0168997510333816
usa,ope_be,monthly,vw_cap,1,206,95,1955-06-30,-0.014067337588934
usa,ope_be,monthly,vw_cap,1,206,94,1955-07-31,-0.0215734628916711
usa,ope_be,monthly,vw_cap,1,205,94,1955-08-31,0.0179449974310372
usa,ope_be,monthly,vw_cap,1,204,93,1955-09-30,0.00683012159985957
usa,ope_be,monthly,vw_cap,1,204,94,1955-10-31,-0.00237898903612429
