location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,qmj,monthly,vw_cap,1,16,7,1955-11-30,-0.0485936255111987
usa,qmj,monthly,vw_cap,1,19,9,1955-12-31,0.041598121669672
usa,qmj,monthly,vw_cap,1,24,11,1956-01-31,-0.0280742943895475
usa,qmj,monthly,vw_cap,1,34,16,1956-02-29,0.00226766487525877
usa,qmj,monthly,vw_cap,1,45,22,1956-03-31,0.0209634328233681
usa,qmj,monthly,vw_cap,1,49,24,1956-04-30,0.057275680240644
usa,qmj,monthly,vw_cap,1,243,121,1956-05-31,0.016358706781002
usa,qmj,monthly,vw_cap,1,249,123,1956-06-30,0.00127744922812517
usa,qmj,monthly,vw_cap,1,256,128,1956-07-31,0.000906874068560826
usa,qmj,monthly,vw_cap,1,256,126,1956-08-31,0.00635123922641622
usa,qmj,monthly,vw_cap,1,261,128,1956-09-30,0.0037223193397104
usa,qmj,monthly,vw_cap,1,262,129,1956-10-31,0.0107065923098341
usa,qmj,monthly,vw_cap,1,263,130,1956-11-30,0.000207267982010206
usa,qmj,monthly,vw_cap,1,264,130,1956-12-31,0.0025347661680527
usa,qmj,monthly,vw_cap,1,265,130,1957-01-31,-0.00617197949380919
usa,qmj,monthly,vw_cap,1,266,130,1957-02-28,0.0134653589650374
usa,qmj,monthly,vw_cap,1,266,130,1957-03-31,0.00794125461704575
usa,qmj,monthly,vw_cap,1,265,130,1957-04-30,-0.000722883321801791
usa,qmj,monthly,vw_cap,1,306,151,1957-05-31,0.00129599382771008
usa,qmj,monthly,vw_cap,1,306,152,1957-06-30,0.018545747691216
usa,qmj,monthly,vw_cap,1,307,153,1957-07-31,0.0120851459633003
usa,qmj,monthly,vw_cap,1,305,152,1957-08-31,0.00958831913036921
usa,qmj,monthly,vw_cap,1,305,152,1957-09-30,0.0265521151757025
usa,qmj,monthly,vw_cap,1,307,153,1957-10-31,0.0170769400425926
usa,qmj,monthly,vw_cap,1,309,150,1957-11-30,-0.00111234853274294
usa,qmj,monthly,vw_cap,1,309,150,1957-12-31,0.0199220784719709
usa,qmj,monthly,vw_cap,1,312,151,1958-01-31,-0.0347973160133396
usa,qmj,monthly,vw_cap,1,310,150,1958-02-28,0.0134515151259987
usa,qmj,monthly,vw_cap,1,311,151,1958-03-31,0.0117474101843033
usa,qmj,monthly,vw_cap,1,312,151,1958-04-30,0.0208944246773244
usa,qmj,monthly,vw_cap,1,309,150,1958-05-31,-0.00828400552725575
usa,qmj,monthly,vw_cap,1,309,150,1958-06-30,0.0000793217969377209
usa,qmj,monthly,vw_cap,1,307,150,1958-07-31,-0.00288512705483184
usa,qmj,monthly,vw_cap,1,308,150,1958-08-31,0.0115829749894069
usa,qmj,monthly,vw_cap,1,307,148,1958-09-30,-0.00143216038111352
usa,qmj,monthly,vw_cap,1,307,150,1958-10-31,-0.0201706063702349
usa,qmj,monthly,vw_cap,1,303,149,1958-11-30,0.0288361127856236
usa,qmj,monthly,vw_cap,1,305,150,1958-12-31,-0.00651433832038485
usa,qmj,monthly,vw_cap,1,305,149,1959-01-31,-0.0171563578565765
usa,qmj,monthly,vw_cap,1,305,150,1959-02-28,-0.00601183043435186
usa,qmj,monthly,vw_cap,1,305,151,1959-03-31,-0.000836010182548952
usa,qmj,monthly,vw_cap,1,304,149,1959-04-30,0.0266573295465265
usa,qmj,monthly,vw_cap,1,312,153,1959-05-31,-0.00814552089521387
usa,qmj,monthly,vw_cap,1,312,153,1959-06-30,0.00113957791372001
usa,qmj,monthly,vw_cap,1,312,153,1959-07-31,0.0108737941839398
usa,qmj,monthly,vw_cap,1,310,153,1959-08-31,0.00562675393297117
usa,qmj,monthly,vw_cap,1,311,154,1959-09-30,0.00763107330880404
