location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,ret_12_1,monthly,vw_cap,1,340,141,1927-01-31,-0.0018371372649628
usa,ret_12_1,monthly,vw_cap,1,351,137,1927-02-28,-0.0280860737599768
usa,ret_12_1,monthly,vw_cap,1,353,139,1927-03-31,0.0450255108775086
usa,ret_12_1,monthly,vw_cap,1,354,145,1927-04-30,0.0237029015754852
usa,ret_12_1,monthly,vw_cap,1,358,143,1927-05-31,0.0431910566615693
usa,ret_12_1,monthly,vw_cap,1,360,148,1927-06-30,0.0121660130446085
usa,ret_12_1,monthly,vw_cap,1,363,148,1927-07-31,0.0172257515831573
usa,ret_12_1,monthly,vw_cap,1,361,153,1927-08-31,-0.0108314536884915
usa,ret_12_1,monthly,vw_cap,1,360,153,1927-09-30,0.0222801216871292
usa,ret_12_1,monthly,vw_cap,1,366,150,1927-10-31,-0.00851942607738899
usa,ret_12_1,monthly,vw_cap,1,369,152,1927-11-30,0.000725430638835248
usa,ret_12_1,monthly,vw_cap,1,371,153,1927-12-31,0.0138857308053804
usa,ret_12_1,monthly,vw_cap,1,375,158,1928-01-31,0.0135484326290489
usa,ret_12_1,monthly,vw_cap,1,368,152,1928-02-29,-0.0111391605358113
usa,ret_12_1,monthly,vw_cap,1,374,159,1928-03-31,0.0337156909796745
usa,ret_12_1,monthly,vw_cap,1,372,171,1928-04-30,-0.0406794787665956
usa,ret_12_1,monthly,vw_cap,1,371,165,1928-05-31,0.027776803400415
usa,ret_12_1,monthly,vw_cap,1,376,174,1928-06-30,0.00395981552971748
usa,ret_12_1,monthly,vw_cap,1,380,184,1928-07-31,0.0191584234686958
usa,ret_12_1,monthly,vw_cap,1,374,176,1928-08-31,0.0535492820072059
usa,ret_12_1,monthly,vw_cap,1,384,183,1928-09-30,0.0280088392133405
usa,ret_12_1,monthly,vw_cap,1,381,179,1928-10-31,0.0449230674832613
usa,ret_12_1,monthly,vw_cap,1,385,183,1928-11-30,0.0526058090300546
usa,ret_12_1,monthly,vw_cap,1,383,176,1928-12-31,0.0397867396791695
usa,ret_12_1,monthly,vw_cap,1,390,178,1929-01-31,0.025677066320322
usa,ret_12_1,monthly,vw_cap,1,388,170,1929-02-28,0.0250737936526745
usa,ret_12_1,monthly,vw_cap,1,384,165,1929-03-31,-0.0136313706691029
usa,ret_12_1,monthly,vw_cap,1,390,175,1929-04-30,0.0280812074806771
usa,ret_12_1,monthly,vw_cap,1,397,167,1929-05-31,-0.0221486960651677
usa,ret_12_1,monthly,vw_cap,1,403,165,1929-06-30,0.0918779582760285
usa,ret_12_1,monthly,vw_cap,1,404,161,1929-07-31,0.00893186240402492
usa,ret_12_1,monthly,vw_cap,1,401,155,1929-08-31,0.0630755004950191
usa,ret_12_1,monthly,vw_cap,1,402,159,1929-09-30,0.0256438894513812
usa,ret_12_1,monthly,vw_cap,1,394,154,1929-10-31,-0.00829850769109847
usa,ret_12_1,monthly,vw_cap,1,403,154,1929-11-30,-0.0345484991814514
usa,ret_12_1,monthly,vw_cap,1,403,154,1929-12-31,0.0514206786507514
usa,ret_12_1,monthly,vw_cap,1,420,160,1930-01-31,-0.0422073405518372
usa,ret_12_1,monthly,vw_cap,1,430,166,1930-02-28,-0.00178137505083158
usa,ret_12_1,monthly,vw_cap,1,428,170,1930-03-31,-0.0278937099478357
usa,ret_12_1,monthly,vw_cap,1,438,175,1930-04-30,0.0399581364549669
usa,ret_12_1,monthly,vw_cap,1,450,178,1930-05-31,0.0043958049610092
usa,ret_12_1,monthly,vw_cap,1,445,174,1930-06-30,0.0699417043647345
usa,ret_12_1,monthly,vw_cap,1,444,172,1930-07-31,-0.0210952927992903
usa,ret_12_1,monthly,vw_cap,1,446,179,1930-08-31,0.0335135708907842
usa,ret_12_1,monthly,vw_cap,1,454,181,1930-09-30,0.0925926867049591
usa,ret_12_1,monthly,vw_cap,1,447,177,1930-10-31,0.072913338703475
usa,ret_12_1,monthly,vw_cap,1,452,183,1930-11-30,-0.00944725497401102
usa,ret_12_1,monthly,vw_cap,1,458,185,1930-12-31,0.10390611402402
usa,ret_12_1,monthly,vw_cap,1,460,196,1931-01-31,-0.0761531943758343
usa,ret_12_1,monthly,vw_cap,1,471,185,1931-02-28,-0.135858893330783
usa,ret_12_1,monthly,vw_cap,1,471,188,1931-03-31,0.0989397978895304
usa,ret_12_1,monthly,vw_cap,1,478,194,1931-04-30,0.0996638598241044
usa,ret_12_1,monthly,vw_cap,1,483,196,1931-05-31,0.0660535640833155
usa,ret_12_1,monthly,vw_cap,1,475,196,1931-06-30,-0.168311221959421
usa,ret_12_1,monthly,vw_cap,1,470,199,1931-07-31,0.0913041333834516
usa,ret_12_1,monthly,vw_cap,1,466,198,1931-08-31,-0.0180785884378576
usa,ret_12_1,monthly,vw_cap,1,466,204,1931-09-30,0.106635953528279
usa,ret_12_1,monthly,vw_cap,1,468,205,1931-10-31,0.0189472151152556
usa,ret_12_1,monthly,vw_cap,1,473,211,1931-11-30,0.0960464268271936
usa,ret_12_1,monthly,vw_cap,1,471,206,1931-12-31,0.142600465092748
usa,ret_12_1,monthly,vw_cap,1,467,214,1932-01-31,-0.0934011795815183
usa,ret_12_1,monthly,vw_cap,1,481,205,1932-02-29,0.0225520145452025
usa,ret_12_1,monthly,vw_cap,1,474,203,1932-03-31,0.107324947292206
usa,ret_12_1,monthly,vw_cap,1,469,198,1932-04-30,0.0760817142591165
usa,ret_12_1,monthly,vw_cap,1,458,199,1932-05-31,0.147087024222534
usa,ret_12_1,monthly,vw_cap,1,458,191,1932-06-30,0.0102242934735467
usa,ret_12_1,monthly,vw_cap,1,458,205,1932-07-31,-0.443212242779228
usa,ret_12_1,monthly,vw_cap,1,455,205,1932-08-31,-0.580712220232002
usa,ret_12_1,monthly,vw_cap,1,470,204,1932-09-30,0.031078436166516
usa,ret_12_1,monthly,vw_cap,1,475,236,1932-10-31,0.0566299856863916
usa,ret_12_1,monthly,vw_cap,1,472,226,1932-11-30,0.0236398710974665
usa,ret_12_1,monthly,vw_cap,1,479,225,1932-12-31,0.0538397395917195
usa,ret_12_1,monthly,vw_cap,1,474,237,1933-01-31,0.00291686190176634
usa,ret_12_1,monthly,vw_cap,1,468,212,1933-02-28,0.0675679161178669
usa,ret_12_1,monthly,vw_cap,1,479,214,1933-03-31,0.0156060536200091
usa,ret_12_1,monthly,vw_cap,1,470,215,1933-04-30,-0.149314728089546
usa,ret_12_1,monthly,vw_cap,1,463,213,1933-05-31,-0.0723100974577793
usa,ret_12_1,monthly,vw_cap,1,467,202,1933-06-30,0.0199774700111187
usa,ret_12_1,monthly,vw_cap,1,454,221,1933-07-31,-0.000035115654042614
usa,ret_12_1,monthly,vw_cap,1,471,217,1933-08-31,0.108066385604166
usa,ret_12_1,monthly,vw_cap,1,464,226,1933-09-30,0.0539045643549549
usa,ret_12_1,monthly,vw_cap,1,467,228,1933-10-31,-0.00182488811771267
usa,ret_12_1,monthly,vw_cap,1,464,232,1933-11-30,0.0329155769847077
usa,ret_12_1,monthly,vw_cap,1,471,230,1933-12-31,0.0225073220440661
usa,ret_12_1,monthly,vw_cap,1,457,224,1934-01-31,-0.0636056845539192
usa,ret_12_1,monthly,vw_cap,1,463,228,1934-02-28,-0.00174276708611999
usa,ret_12_1,monthly,vw_cap,1,449,210,1934-03-31,0.013438694655398
usa,ret_12_1,monthly,vw_cap,1,462,207,1934-04-30,-0.0539134558525298
usa,ret_12_1,monthly,vw_cap,1,473,204,1934-05-31,-0.0196302987626585
usa,ret_12_1,monthly,vw_cap,1,470,233,1934-06-30,0.00476870352887453
usa,ret_12_1,monthly,vw_cap,1,465,204,1934-07-31,0.110139215819894
usa,ret_12_1,monthly,vw_cap,1,473,199,1934-08-31,-0.00688533668543688
