date,bubble,climate change,china
1/1/84,4,0,304
2/1/84,1,0,271
3/1/84,5,0,180
4/1/84,5,0,295
5/1/84,9,0,278
6/1/84,6,0,189
7/1/84,3,0,225
8/1/84,5,2,289
9/1/84,3,0,221
10/1/84,8,0,217
11/1/84,6,0,213
12/1/84,1,0,151
1/1/85,4,1,180
2/1/85,5,0,221
3/1/85,4,0,138
4/1/85,3,0,184
5/1/85,4,0,143
6/1/85,4,0,111
7/1/85,3,0,198
8/1/85,2,0,143
9/1/85,3,0,198
10/1/85,1,1,180
11/1/85,8,1,137
12/1/85,7,0,122
1/1/86,6,0,135
2/1/86,3,0,79
3/1/86,11,1,60
4/1/86,4,0,63
5/1/86,7,0,169
6/1/86,4,0,111
7/1/86,2,0,155
8/1/86,2,0,142
9/1/86,2,0,127
10/1/86,5,0,123
11/1/86,16,0,134
12/1/86,6,0,128
1/1/87,3,0,183
2/1/87,3,0,130
3/1/87,5,0,140
4/1/87,6,0,155
5/1/87,9,0,158
6/1/87,3,0,143
7/1/87,4,0,152
8/1/87,7,0,165
9/1/87,3,0,142
10/1/87,7,0,190
11/1/87,16,0,115
12/1/87,6,0,128
1/1/88,5,0,134
2/1/88,9,0,152
3/1/88,1,0,143
4/1/88,3,0,152
5/1/88,1,0,167
6/1/88,6,0,173
7/1/88,7,0,146
8/1/88,3,2,163
9/1/88,7,0,212
10/1/88,8,1,179
11/1/88,8,0,111
12/1/88,7,2,153
1/1/89,1,1,149
2/1/89,10,0,186
3/1/89,7,0,161
4/1/89,10,0,162
5/1/89,5,1,366
6/1/89,7,0,1038
7/1/89,5,1,247
8/1/89,5,0,268
9/1/89,4,1,222
10/1/89,6,2,248
11/1/89,7,2,222
12/1/89,9,0,365
1/1/90,10,0,296
2/1/90,5,2,149
3/1/90,11,1,202
4/1/90,17,0,161
5/1/90,22,0,237
6/1/90,12,0,231
7/1/90,12,5,137
8/1/90,7,1,199
9/1/90,12,0,112
10/1/90,39,2,151
11/1/90,14,0,192
12/1/90,3,0,150
1/1/91,5,2,140
2/1/91,7,2,125
3/1/91,9,1,127
4/1/91,7,0,197
5/1/91,1,1,354
6/1/91,13,1,257
7/1/91,11,1,176
8/1/91,8,1,145
9/1/91,11,5,234
10/1/91,13,0,192
11/1/91,10,1,264
12/1/91,11,0,187
1/1/92,10,1,234
2/1/92,8,1,158
3/1/92,6,0,283
4/1/92,21,3,199
5/1/92,9,21,195
6/1/92,13,18,165
7/1/92,10,3,248
8/1/92,7,0,256
9/1/92,18,0,308
10/1/92,15,0,301
11/1/92,5,0,323
12/1/92,13,0,298
1/1/93,8,0,201
2/1/93,10,0,289
3/1/93,19,0,299
4/1/93,11,0,321
5/1/93,8,0,514
6/1/93,15,0,450
7/1/93,31,0,442
8/1/93,7,0,423
9/1/93,15,0,325
10/1/93,5,2,391
11/1/93,15,0,319
12/1/93,7,0,372
1/1/94,2,1,474
2/1/94,7,0,317
3/1/94,2,0,496
4/1/94,5,0,459
5/1/94,10,0,797
6/1/94,7,0,479
7/1/94,11,0,554
8/1/94,3,1,437
9/1/94,10,0,401
10/1/94,11,0,417
11/1/94,11,0,425
12/1/94,5,0,446
1/1/95,12,0,378
2/1/95,6,1,591
3/1/95,8,0,451
4/1/95,10,0,310
5/1/95,10,0,350
6/1/95,13,0,298
7/1/95,18,0,542
8/1/95,8,0,561
9/1/95,9,0,343
10/1/95,13,1,426
11/1/95,5,1,393
12/1/95,13,2,343
1/1/96,6,0,323
2/1/96,6,0,451
3/1/96,3,0,717
4/1/96,7,0,673
5/1/96,7,0,571
6/1/96,1,6,428
7/1/96,5,1,327
8/1/96,3,0,416
9/1/96,7,0,273
10/1/96,8,0,294
11/1/96,5,0,314
12/1/96,24,0,433
1/1/97,2,1,362
2/1/97,9,2,418
3/1/97,17,3,537
4/1/97,13,0,566
5/1/97,10,1,520
6/1/97,14,4,704
7/1/97,11,4,468
8/1/97,8,0,384
9/1/97,17,3,456
10/1/97,23,10,647
11/1/97,17,1,340
12/1/97,31,4,387
1/1/98,14,1,287
2/1/98,8,0,318
3/1/98,10,1,320
